"HGNC ID (gene)","Approved symbol","Approved name","Previous symbols","Aliases","Chromosome"
"HGNC:16633","MRPS18C","mitochondrial ribosomal protein S18C","","MRPS18-1,CGI-134,FLJ11146,FLJ22967","4q21.23"
"HGNC:14046","MRPS21","mitochondrial ribosomal protein S21","","","1q21.2"
"HGNC:14508","MRPS22","mitochondrial ribosomal protein S22","","MRP-S22,GK002,C3orf5,GIBT","3q23"
"HGNC:14509","MRPS23","mitochondrial ribosomal protein S23","","MRP-S23,CGI-138,HSPC329","17q22"
"HGNC:14510","MRPS24","mitochondrial ribosomal protein S24","","MRP-S24,HSPC335","7p13"
"HGNC:14511","MRPS25","mitochondrial ribosomal protein S25","","MRP-S25,FLJ00023,DKFZp313H0817,RPMS25","3p25.1"
"HGNC:14045","MRPS26","mitochondrial ribosomal protein S26","C20orf193","MRP-S13,MRP-S26,RPMS13,dJ534B8.3","20p13"
"HGNC:14512","MRPS27","mitochondrial ribosomal protein S27","","KIAA0264","5q13.2"
"HGNC:14513","MRPS28","mitochondrial ribosomal protein S28","","MRP-S28,HSPC007,MRPS35","8q21.13"
"HGNC:2673","DAP3","death associated protein 3","","MRPS29,DAP-3,MRP-S29,bMRP-10,MGC126058,MGC126059,DKFZp686G12159","1q22"
"HGNC:8769","MRPS30","mitochondrial ribosomal protein S30","PDCD9","PAP","5p12"
"HGNC:16632","MRPS31","mitochondrial ribosomal protein S31","","IMOGN38","13q14.11"
"HGNC:16634","MRPS33","mitochondrial ribosomal protein S33","","CGI-139","7q34"
"HGNC:16618","MRPS34","mitochondrial ribosomal protein S34","","MRP-S12,MGC2616","16p13.3"
"HGNC:16635","MRPS35","mitochondrial ribosomal protein S35","","MRPS28,MDS023","12p11.22"
"HGNC:16631","MRPS36","mitochondrial ribosomal protein S36","","DC47,MRP-S36","5q13.2"
