Ligand	Mode of Action	Signaling	Functional classification	Functional.sub.classification	Gene.Family
OXT	Secreted Signaling	Hormones & Neuropeptides	Hormone/Neuropeptide	Hormone/Neuropeptide (Hypothalamus)	Oxytocin Family
ADCYAP1	Secreted Signaling	Hormones & Neuropeptides	Hormone/Neuropeptide	Other	PACAP Family
LCK	Cell-Cell Contact	Immune	Immune regulators	Protein Tyrosine Kinase	src family of PTKs
PTPRC	Cell-Cell Contact	Immune	Immune regulators	Protein Tyrosine Phosphatases	CD Family
PTPRM	Cell-Cell Contact	Immune	Immune regulators	Receptor-type Tyrosine-protein Phosphatase	src family of PTKs
CD46	Cell-Cell Contact	Immune	Immune regulators	Complement Regulators	CD Family
CD8A	Cell-Cell Contact	Immune	Immune regulators	Immune Modulators	CD Family
CLEC2D	Cell-Cell Contact	Immune	Immune regulators	Immune Modulators	CLEC Family
CLEC2A	Cell-Cell Contact	Immune	Immune regulators	Immune Modulators	CLEC Family
CLEC2B	Cell-Cell Contact	Immune	Immune regulators	Immune Modulators	CLEC Family
CLEC2L	Cell-Cell Contact	Immune	Immune regulators	Immune Modulators	CLEC Family
CLEC1B	Cell-Cell Contact	Immune	Immune regulators	Immune Modulators	CLEC Family
LGALS9	Cell-Cell Contact	Immune	Immune regulators	Immune Modulators	Galectin Family
FCER2	Cell-Cell Contact	Immune	Immune regulators	Immune Modulators	Receptor-type tyrosine-protein phosphatases
VSIR	Cell-Cell Contact	Immune	Immune regulators	Inhibitory Molecules	CD Family
CEACAM1	Cell-Cell Contact	Immune	Immune regulators	Inhibitory Molecules	CD Family
CD274	Cell-Cell Contact	Immune	Immune regulators	Inhibitory Molecules	CD Family
TIGIT	Cell-Cell Contact	Immune	Immune regulators	Inhibitory Molecules	B7 Family
BTLA	Cell-Cell Contact	Immune	Immune regulators	Inhibitory Molecules	B7 Family
PDCD1LG2	Cell-Cell Contact	Immune	Immune regulators	Inhibitory Molecules	Epithelial growth factors
CD22	Cell-Cell Contact	Immune	Immune regulators	Inhibitory Molecules	IgCAMs
CD48	Cell-Cell Contact	Immune	Immune regulators	Stimulatory Molecules	CD Family
CD6	Cell-Cell Contact	Immune	Immune regulators	Stimulatory Molecules	CD Family
CD80	Cell-Cell Contact	Immune	Immune regulators	Stimulatory Molecules	CD Family
CD86	Cell-Cell Contact	Immune	Immune regulators	Stimulatory Molecules	CD Family
CD69	Cell-Cell Contact	Immune	Immune regulators	Stimulatory Molecules	CD Family
ICOSLG	Cell-Cell Contact	Immune	Immune regulators	Stimulatory Molecules	CD Family
ULBP1	Cell-Cell Contact	Immune	Immune regulators	Stimulatory Molecules	ULBP Family
RAET1E	Cell-Cell Contact	Immune	Immune regulators	Stimulatory Molecules	RAET1 Family
RAET1G	Cell-Cell Contact	Immune	Immune regulators	Stimulatory Molecules	RAET1 Family
