Ligand	Mode of Action	Signaling	Functional classification	Functional.sub.classification	Gene.Family
PVR	Cell-Cell Contact	CAM	Other_CAM	Other Cell Adhesion Proteins	Nectin Family
SIGLEC1	Cell-Cell Contact	CAM	Other_CAM	Other Cell Adhesion Proteins	SIGLEC Family
NFASC	Cell-Cell Contact	CAM	Other_CAM	Other Cell Adhesion Proteins	Ig Superfamily
CSPG4	Cell-Cell Contact	CAM	Other_CAM	Other Cell Adhesion Proteins	Proteoglycan Family
ADGRE5	Cell-Cell Contact	CAM	Other_CAM	Other Cell Adhesion Proteins	-
ALCAM	Cell-Cell Contact	CAM	Other_CAM	Other Cell Adhesion Proteins	-
APP	Cell-Cell Contact	CAM	Other_CAM	Other Cell Adhesion Proteins	-
CADM1	Cell-Cell Contact	CAM	Other_CAM	Other Cell Adhesion Proteins	-
CADM3	Cell-Cell Contact	CAM	Other_CAM	Other Cell Adhesion Proteins	-
CD226	Cell-Cell Contact	CAM	Other_CAM	Other Cell Adhesion Proteins	-
CD34	Cell-Cell Contact	CAM	Other_CAM	Other Cell Adhesion Proteins	-
CD96	Cell-Cell Contact	CAM	Other_CAM	Other Cell Adhesion Proteins	-
CD99	Cell-Cell Contact	CAM	Other_CAM	Other Cell Adhesion Proteins	-
GP1BA	Cell-Cell Contact	CAM	Other_CAM	Other Cell Adhesion Proteins	-
F11R	Cell-Cell Contact	CAM	Other_CAM	Other Cell Adhesion Proteins	-
MADCAM1	Cell-Cell Contact	CAM	Other_CAM	Other Cell Adhesion Proteins	-
MPZ	Cell-Cell Contact	CAM	Other_CAM	Other Cell Adhesion Proteins	-
MPZL1	Cell-Cell Contact	CAM	Other_CAM	Other Cell Adhesion Proteins	-
NECTIN1	Cell-Cell Contact	CAM	Other_CAM	Other Cell Adhesion Proteins	Nectin Family
NECTIN3	Cell-Cell Contact	CAM	Other_CAM	Other Cell Adhesion Proteins	Nectin Family
NECTIN2	Cell-Cell Contact	CAM	Other_CAM	Other Cell Adhesion Proteins	Nectin Family
NEGR1	Cell-Cell Contact	CAM	Other_CAM	Other Cell Adhesion Proteins	-
LRRC4C	Cell-Cell Contact	CAM	Other_CAM	Other Cell Adhesion Proteins	-
LRRC4	Cell-Cell Contact	CAM	Other_CAM	Other Cell Adhesion Proteins	-
LRRC4B	Cell-Cell Contact	CAM	Other_CAM	Other Cell Adhesion Proteins	-
PECAM1	Cell-Cell Contact	CAM	Other_CAM	Other Cell Adhesion Proteins	-
THY1	Cell-Cell Contact	CAM	Other_CAM	Other Cell Adhesion Proteins	-
MAG	Cell-Cell Contact	Developmental	Other_Developmental	Other	SIGLEC Family
THBS4	ECM-Receptor	ECM	Other_ECM	Other ECM proteins	Integrins
FN1	ECM-Receptor	ECM	Other_ECM	Other ECM proteins	Fibronectin Family
THBS3	ECM-Receptor	ECM	Other_ECM	Other ECM proteins	Thrombospondins Family
COMP	ECM-Receptor	ECM	Other_ECM	Other ECM proteins	Thrombospondins Family
VTN	ECM-Receptor	ECM	Other_ECM	Other ECM proteins	Vitronectin Family
TNXB	ECM-Receptor	ECM	Other_ECM	Other ECM proteins	Tenascin Family
Npnt complex 1	ECM-Receptor	ECM	Other_ECM	Other ECM proteins	Nephronectin Family
Npnt complex 2	ECM-Receptor	ECM	Other_ECM	Other ECM proteins	Nephronectin Family
DSPP	ECM-Receptor	ECM	Other_ECM	Other ECM proteins	Dentin Sialophosphoprotein Family
VWF	ECM-Receptor	ECM	Other_ECM	Other ECM proteins	Von Willebrand Factor Family
IBSP	ECM-Receptor	ECM	Other_ECM	Other ECM proteins	Integrin-binding Sialoprotein Family
DMP1	ECM-Receptor	ECM	Other_ECM	Other ECM proteins	Dentin Matrix Acidic Phosphoprotein Family
AGRN	ECM-Receptor	ECM	Other_ECM	Other ECM proteins	Agrin Family
HSPG2	ECM-Receptor	ECM	Other_ECM	Other ECM proteins	Heparan Sulfate Proteoglycan Family
RELN	ECM-Receptor	ECM	Other_ECM	Other ECM proteins	Reelin Family
ENTPD1	Cell-Cell Contact	Enzymatic	Other_Enzymatic	Ectonucleotidase	Ectonucleotidase family.
NAMPT	Secreted Signaling	Enzymatic	Other_Enzymatic	Nicotinamide Phosphoribosyltransferase	Nicotinamide Phosphoribosyltransferase Family
PSAP	Secreted Signaling	Enzymatic	Other_Enzymatic	Sphingolipid Modulator	Saposin Family
PDGFA	Secreted Signaling	Growth Factors & Cytokines	Platelet-derived GFs	Platelet-derived Growth Factors	Platelet-derived growth factor (PDGF)
PDGFB	Secreted Signaling	Growth Factors & Cytokines	Platelet-derived GFs	Platelet-derived Growth Factors	Platelet-derived growth factor (PDGF)
PDGFC	Secreted Signaling	Growth Factors & Cytokines	Platelet-derived GFs	Platelet-derived Growth Factors	Platelet-derived growth factor (PDGF)
PDGFD	Secreted Signaling	Growth Factors & Cytokines	Platelet-derived GFs	Platelet-derived Growth Factors	Platelet-derived growth factor (PDGF)
SELE	Cell-Cell Contact	CAM	Selectins	Selectins	Selectin Family
SELL	Cell-Cell Contact	CAM	Selectins	Selectins	Selectin Family
SELPLG	Cell-Cell Contact	CAM	Selectins	Hormone like (Gut)	Selectin Family
SEMA3A	Secreted Signaling	Developmental	Semaphorins	Semaphorins	Semaphorin Family
SEMA3B	Secreted Signaling	Developmental	Semaphorins	Semaphorins	Semaphorin Family
SEMA3C	Secreted Signaling	Developmental	Semaphorins	Semaphorins	Semaphorin Family
SEMA3D	Secreted Signaling	Developmental	Semaphorins	Semaphorins	Semaphorin Family
SEMA3E	Secreted Signaling	Developmental	Semaphorins	Semaphorins	Semaphorin Family
SEMA3F	Secreted Signaling	Developmental	Semaphorins	Semaphorins	Semaphorin Family
SEMA3G	Secreted Signaling	Developmental	Semaphorins	Semaphorins	Semaphorin Family
SEMA4A	Cell-Cell Contact	Developmental	Semaphorins	Semaphorins	Semaphorins
SEMA4D	Cell-Cell Contact	Developmental	Semaphorins	Semaphorins	Semaphorins
SEMA4C	Cell-Cell Contact	Developmental	Semaphorins	Semaphorins	Semaphorins
SEMA4G	Cell-Cell Contact	Developmental	Semaphorins	Semaphorins	Semaphorins
SEMA5A	Cell-Cell Contact	Developmental	Semaphorins	Semaphorins	Semaphorins
SEMA5B	Cell-Cell Contact	Developmental	Semaphorins	Semaphorins	Semaphorins
SEMA6D	Cell-Cell Contact	Developmental	Semaphorins	Semaphorins	Semaphorins
SEMA6A	Cell-Cell Contact	Developmental	Semaphorins	Semaphorins	Semaphorins
SEMA6B	Cell-Cell Contact	Developmental	Semaphorins	Semaphorins	Semaphorins
SEMA7A	Cell-Cell Contact	Developmental	Semaphorins	Semaphorins	Semaphorins
CTSG	Secreted Signaling	Enzymatic	Serine Protease	Serine Protease	Cathepsin G Family
F2	Secreted Signaling	Enzymatic	Serine Protease	Serine Protease	Thrombin Family
GZMA	Secreted Signaling	Enzymatic	Serine Protease	Serine Protease	Granzyme Family
KLK3	Secreted Signaling	Enzymatic	Serine Protease	Serine Protease	Kallikrein Family
PLG	Secreted Signaling	Enzymatic	Serine Protease	Serine Protease	Plasminogen Family
PRSS1	Secreted Signaling	Enzymatic	Serine Protease	Serine Protease	Trypsin Family
PRSS2	Secreted Signaling	Enzymatic	Serine Protease	Serine Protease	Trypsin Family
PRSS3	Secreted Signaling	Enzymatic	Serine Protease	Serine Protease	Trypsin Family
Activin AB	Secreted Signaling	Growth Factors & Cytokines	TGFB_s	TGFBBeta Superfamily	Activin/Inhibin Family
AMH	Secreted Signaling	Growth Factors & Cytokines	TGFB_s	TGFBBeta Superfamily	AMH Family
BMP2	Secreted Signaling	Growth Factors & Cytokines	TGFB_s	TGFBBeta Superfamily	BMP Family
BMP5	Secreted Signaling	Growth Factors & Cytokines	TGFB_s	TGFBBeta Superfamily	BMP Family
BMP6	Secreted Signaling	Growth Factors & Cytokines	TGFB_s	TGFBBeta Superfamily	BMP Family
BMP7	Secreted Signaling	Growth Factors & Cytokines	TGFB_s	TGFBBeta Superfamily	BMP Family
GDF1	Secreted Signaling	Growth Factors & Cytokines	TGFB_s	TGFBBeta Superfamily	GDF Subfamily
GDF10	Secreted Signaling	Growth Factors & Cytokines	TGFB_s	TGFBBeta Superfamily	GDF Subfamily
GDF11	Secreted Signaling	Growth Factors & Cytokines	TGFB_s	TGFBBeta Superfamily	GDF Subfamily
GDF15	Secreted Signaling	Growth Factors & Cytokines	TGFB_s	TGFBBeta Superfamily	GDF Subfamily
GDF2	Secreted Signaling	Growth Factors & Cytokines	TGFB_s	TGFBBeta Superfamily	GDF Subfamily
GDF3	Secreted Signaling	Growth Factors & Cytokines	TGFB_s	TGFBBeta Superfamily	GDF Subfamily
GDF5	Secreted Signaling	Growth Factors & Cytokines	TGFB_s	TGFBBeta Superfamily	GDF Subfamily
GDF6	Secreted Signaling	Growth Factors & Cytokines	TGFB_s	TGFBBeta Superfamily	GDF Subfamily
GDF7	Secreted Signaling	Growth Factors & Cytokines	TGFB_s	TGFBBeta Superfamily	GDF Subfamily
GDF9	Secreted Signaling	Growth Factors & Cytokines	TGFB_s	TGFBBeta Superfamily	GDF Subfamily
INHBA	Secreted Signaling	Growth Factors & Cytokines	TGFB_s	TGFBBeta Superfamily	Activin/Inhibin Family
INHBB	Secreted Signaling	Growth Factors & Cytokines	TGFB_s	TGFBBeta Superfamily	Activin/Inhibin Family
INHBC	Secreted Signaling	Growth Factors & Cytokines	TGFB_s	TGFBBeta Superfamily	Activin/Inhibin Family
INHBE	Secreted Signaling	Growth Factors & Cytokines	TGFB_s	TGFBBeta Superfamily	Activin/Inhibin Family
Inhibin A	Secreted Signaling	Growth Factors & Cytokines	TGFB_s	TGFBBeta Superfamily	Activin/Inhibin Family
Inhibin B	Secreted Signaling	Growth Factors & Cytokines	TGFB_s	TGFBBeta Superfamily	Activin/Inhibin Family
MSTN	Secreted Signaling	Growth Factors & Cytokines	TGFB_s	TGFBBeta Superfamily	MSTN Family
NODAL	Secreted Signaling	Growth Factors & Cytokines	TGFB_s	TGFBBeta Superfamily	Nodal Family
TGFB1	Secreted Signaling	Growth Factors & Cytokines	TGFB_s	TGFBBeta Superfamily	TGFBBeta Family
TGFB2	Secreted Signaling	Growth Factors & Cytokines	TGFB_s	TGFBBeta Superfamily	TGFBBeta Family
TGFB3	Secreted Signaling	Growth Factors & Cytokines	TGFB_s	TGFBBeta Superfamily	TGFBBeta Family
CLDN11	Cell-Cell Contact	CAM	Tight Junction	Tight Junction Proteins	Claudin Family
OCLN	Cell-Cell Contact	CAM	Tight Junction	Tight Junction Proteins	-
CD40LG	Secreted Signaling	Growth Factors & Cytokines	TNFs	TNF Superfamily	TNF Ligand Family
CD70	Secreted Signaling	Growth Factors & Cytokines	TNFs	TNF Superfamily	TNF Ligand Family
EDA	Secreted Signaling	Growth Factors & Cytokines	TNFs	TNF Superfamily	TNF Ligand Family
FASLG	Secreted Signaling	Growth Factors & Cytokines	TNFs	TNF Superfamily	TNF Ligand Family
TNFSF13	Secreted Signaling	Growth Factors & Cytokines	TNFs	TNF Superfamily	APRIL/TWE-PRIL Family
TNFSF13B	Secreted Signaling	Growth Factors & Cytokines	TNFs	TNF Superfamily	BAFF Family
TNFSF18	Secreted Signaling	Growth Factors & Cytokines	TNFs	TNF Superfamily	TNF Ligand Family
TNFSF8	Secreted Signaling	Growth Factors & Cytokines	TNFs	TNF Superfamily	TNF Ligand Family
TNFSF9	Secreted Signaling	Growth Factors & Cytokines	TNFs	TNF Superfamily	TNF Ligand Family
LTA	Secreted Signaling	Growth Factors & Cytokines	TNFs	TNF Superfamily	TNF Ligand Family
LTa1b2	Secreted Signaling	Growth Factors & Cytokines	TNFs	TNF Superfamily	TNF Ligand Family
TNF	Secreted Signaling	Growth Factors & Cytokines	TNFs	TNF Superfamily	TNF Ligand Family
TNFSF10	Secreted Signaling	Growth Factors & Cytokines	TNFs	TNF Superfamily	TNF Ligand Family
TNFSF11	Secreted Signaling	Growth Factors & Cytokines	TNFs	TNF Superfamily	TNF Ligand Family
TNFSF12	Secreted Signaling	Growth Factors & Cytokines	TNFs	TNF Superfamily	TNF Ligand Family
TNFSF14	Secreted Signaling	Growth Factors & Cytokines	TNFs	TNF Superfamily	TNF Ligand Family
TNFSF15	Secreted Signaling	Growth Factors & Cytokines	TNFs	TNF Superfamily	TNF Ligand Family
TNFSF4	Secreted Signaling	Growth Factors & Cytokines	TNFs	TNF Superfamily	TNF Ligand Family
PGF	Secreted Signaling	Growth Factors & Cytokines	VEGFs	Vascular Endothelial Growth Factors	Placental Growth Factor Family
VEGFA	Secreted Signaling	Growth Factors & Cytokines	VEGFs	Vascular Endothelial Growth Factors	VEGF Family
VEGFB	Secreted Signaling	Growth Factors & Cytokines	VEGFs	Vascular Endothelial Growth Factors	VEGF Family
VEGFC	Secreted Signaling	Growth Factors & Cytokines	VEGFs	Vascular Endothelial Growth Factors	VEGF Family
VEGFD	Secreted Signaling	Growth Factors & Cytokines	VEGFs	Vascular Endothelial Growth Factors	VEGF Family
WNT1	Secreted Signaling	Developmental	WNT	WNT Signaling	WNT Family
WNT10A	Secreted Signaling	Developmental	WNT	WNT Signaling	WNT Family
WNT10B	Secreted Signaling	Developmental	WNT	WNT Signaling	WNT Family
WNT11	Secreted Signaling	Developmental	WNT	WNT Signaling	WNT Family
WNT16	Secreted Signaling	Developmental	WNT	WNT Signaling	WNT Family
WNT2	Secreted Signaling	Developmental	WNT	WNT Signaling	WNT Family
WNT2B	Secreted Signaling	Developmental	WNT	WNT Signaling	WNT Family
WNT3	Secreted Signaling	Developmental	WNT	WNT Signaling	WNT Family
WNT3A	Secreted Signaling	Developmental	WNT	WNT Signaling	WNT Family
WNT4	Secreted Signaling	Developmental	WNT	WNT Signaling	WNT Family
WNT5A	Secreted Signaling	Developmental	WNT	WNT Signaling	WNT Family
WNT5B	Secreted Signaling	Developmental	WNT	WNT Signaling	WNT Family
WNT6	Secreted Signaling	Developmental	WNT	WNT Signaling	WNT Family
WNT7A	Secreted Signaling	Developmental	WNT	WNT Signaling	WNT Family
WNT7B	Secreted Signaling	Developmental	WNT	WNT Signaling	WNT Family
WNT8A	Secreted Signaling	Developmental	WNT	WNT Signaling	WNT Family
WNT8B	Secreted Signaling	Developmental	WNT	WNT Signaling	WNT Family
WNT9A	Secreted Signaling	Developmental	WNT	WNT Signaling	WNT Family
WNT9B	Secreted Signaling	Developmental	WNT	WNT Signaling	WNT Family
